ano,População,População_Ativa,População_empregada,Segurados,Pensionista_INPS,Pensionista_FP,Pensionistas_Total,Salario_Médio_Segurados,Taxa_cobertura_Pop_Empregada,Taxa_cobertura_Residente,Beneficiários,PIB,Inflação,PIB_Nominal,despesa_sdo,despesa_maternidade,despesa_cms,despesa_estomatologia,despesa_fisioterapia,despesa_exames_clinicos,despesa_amed,despesa_protese,despesa_sdu,despesa_transporte,despesa_externo,despesa_outra_despesa,despesa_total
2011,499653.96084266313,203497.1798287024,178571.36502913636,72143,5758,4597,10355,44970,0.4040009437584177,0.38136793647874884,190552,0.0392471820919986,0.045,162265.34642259462,110036000.0,59123000.0,400000000,93708000,19592407.35836372,39957592.641636275,598415000.0,99492000.0,98854000.0,99492000.0,197406000.0,8134000.0,1824210000.0
2012,505982.0030181408,225819.37704706192,187903.9007282257,73440,5865,4923,10788,45244,0.39083808114350826,0.38421327011709955,194405,0.0108364850742684,0.025,165135.16748731254,106927000.0,73691000.0,400000000,135726000,16150000.0,32937000.0,598874000.0,108199000.0,107933000.0,117926000.0,189173000.0,10612000.0,1898148000.0
2013,512042.9402551651,221862.4712767601,185474.46635055542,73129,5970,5190,11160,46251,0.39428068692637597,0.3906762192645661,200043,0.00632136695242669,0.015,168546.7012110586,118756000.0,72433000.0,400000000,115381000,20637000.0,26664000.0,576123000.0,104521000.0,73694000.0,109054000.0,231065000.0,10612000.0,1858940000.0
2014,518468.001033783,217158.13928723335,182830.6992726326,74207,6121,5525,11646,46705,0.4058782266611821,0.39778925524578607,206241,0.00696666850235972,-0.002,169550.64617733023,115224000.0,83164000.0,400000000,114510000,19690000.0,6422000.0,490292000.0,112668000.0,52558000.0,61292000.0,225222000.0,10612000.0,1691654000.0
2015,524623.0,222084.5542910099,194485.4989311695,76785,6460,5690,12150,47116,0.39481092637747267,0.4007696955718678,210253,0.00936026507760812,0.001,173910.814,142399000.0,84166000.0,400000000,119750000,26038000.0,467000.0,556204000.0,142261000.0,79626000.0,97578000.0,268892000.0,9503000.0,1926884000.0
2016,530913.0,246680.34998345375,209725.45558857918,83441,6767,6288,13055,47173,0.39785823693089106,0.42421639703680264,225222,0.0428071482662371,-0.0140766550522651,184402.07499999995,163814000.0,88249000.0,400000000,141148000,32787000.0,3958000.0,541076000.0,172315000.0,94021000.0,99344000.0,329826000.0,3502000.0,2070040000.0
2017,537231.0,232198.35778307915,203774.80252051353,92444,7184,7188,14372,46337,0.4536576596151719,0.4448086577282398,238965,0.0455131483742794,0.00770426915465072,195295.176,177943000.0,108283000.0,400000000,143478000,42858000.0,33807000.0,649854000.0,193212000.0,107693000.0,107166000.0,378868000.0,5352000.0,2348514000.0
2018,543492.0,222028.0207157135,195000.10097503662,98059,7559,7943,15502,45666,0.5028664062720318,0.4624612689791202,251344,0.037069645796064,0.0126253770077855,205986.23700000005,200088000.0,123625000.0,400000000,158877000,48230000.0,36002000.0,669070000.0,197085000.0,103462000.0,108827000.0,436601000.0,3458000.0,2485325000.0
2019,549699.0,232603.87462306023,206344.41780471802,105272,8065,8591,16656,45870,0.5101761468518533,0.4560841478700161,250709,0.0694782632492088,0.011,221828.58900000004,218688000.0,142671000.0,400000000,191175000,57114000.0,48359000.0,826464000.0,267176000.0,135039000.0,125442000.0,471671000.0,2732000.0,2886531000.0
2020,555838.9975466728,218350.84702324867,186626.71273469925,103189,8438,8501,16939,46618,0.5529165599497494,0.4510460782826747,250709,-0.208052759150895,0.00605795808395615,176319.79700000002,205664000.0,125619000.0,400000000,146705000,40808000.0,91707000.0,707068000.0,255186000.0,151763000.0,113988000.0,512695000.0,1964000.0,2753167000.0
2021,506594.99927830696,231663.9859471321,211579.56005716324,104851,8941,9066,18007,46112,0.49556299281306765,0.5076797054183103,257188,0.0703353010325893,0.019,191268.854,284049000.0,127194000.0,400000000,165796000,51395000.0,64377000.0,767248000.0,333575000.0,181030000.0,110191000.0,496338000.0,2134000.0,2983327000.0
2022,506594.99927830696,214014.10405898094,190579.178784132,115235,9473,9630,19103,45502,0.6046568189409928,0.5359823930098299,271526,0.158436757298708,0.0793092925430086,235627.66000000003,296258000.0,127000000.0,400000000,199396000,51786000.0,62518000.0,837060000.0,336741000.0,220387000.0,126640000.0,580912500.0,3200000.0,3241898500.0
2023,509078.0,212313.24716496468,190460.70359420776,119275,9957,10653,20610,46077,0.6262446675306064,0.5514695194056707,280741,0.0547543589608963,0.031,254972.75400000002,298325000.0,133188000.0,400000000,227380000,62896000.0,66879000.0,900383500.0,415793800.0,247239000.0,153628000.0,713472000.0,6901900.0,3626086200.0
2024,511534.0010828972,216287.0,198914.0,124601,10660,10112,20772,47385,0.6264063866796706,0.5634679207830217,288233,,,282079.0,329432000.0,200131000.0,400000000,244317834,65635000.0,75911000.0,1050069222.0000001,429108341.0,265558173.0,161033000.0,731856309.0,6056000.0,3959107879.0
